Description,ASIN,Manufacturer,Product Info
,B07F2H25NP,,"[{'Product': 'Shoulder Strap', 'Additional Info': 'Two reinforced belts on each side of the duffle bag act as handles for a versatile means of carrying. The long shoulder strap has a buckle which is fully adjustable to support a customized fit.'}, {'Product': 'Large Capacity', 'Additional Info': 'This bag has a spacious compartment with large volume capacity. It is spacious enough to accommodate your gym clothes and other personal items. When not in use, this gym bag folds into a flat, compact size, taking up minimal space on a shelf or in a closet.'}, {'Product': 'Durable', 'Additional Info': 'Made of quality leather, the bag is of a solid construction with sturdy stitching to protect against wear and tear. It has a strong two-way zipper closure which pulls without any resistance.'}]"
,B07CDD6YS2,,"[{'Product': 'Design', 'Additional Info': 'Featuring padded handles and shoulder straps, zipper compartments and bottle holders, this bag comes with everything you need to tackle your daily commute.'}, {'Product': 'Compartments', 'Additional Info': 'This bag features buckle 3 Large Compartments, 1 Easy access front Pocket with organizer section & 2 mesh side pocket'}, {'Product': 'Material', 'Additional Info': 'Polyester is widely popular on account of its durability and toughness. Made of fibres that do not wear down quickly even with daily use and it is resistant to wrinkling and shrinking. The light weight feel of the material also makes it a very in-demand material for backpacks.'}]"
,India,,"Impulse Backpack are made to give you comfort and durability, It is light in weight one backpack for all your needs"
"['MADE IN INDIA - This “MAKE IN INDIA” backpack for men has features of 3 large zippered compartments, 1 vertical long zip pocket at front, 1 water bottle /umbrella pocket. This backpack for men is suitable for casual usage, school/college/travel etc. In deed a perfect all-rounder backpack, school bags for boys and girls, college bags for men and college bag for girls, office bag for men and women. Great value !!', 'LOTS OF STORAGE SPACE – The school bags for boys front compartment has space for keeping tiffin box. Front pocket gives easy access to wallet / key chains/ stationary. Second and Third compartment are very spacious for keeping long books, files, binders and spacious enough to hold your Travel / Trip cloths. The base of college bag for women is made with 100% super strong 900D polyester fabric to protect your bag during daily use.', 'COMFY & STURDY – This backpack for men has comfortable airflow back design with thick but soft multi-panel ventilated padding, gives you maximum back support. Office bag for men is breathable and adjustable shoulder straps relieve the stress of shoulder. Foam padded top handle for a long time carry on; Age Range Description: Adult; Special Features: Water Bottle Umbrella Pouch.', 'SIZE & FEATURES - Compartment Description: Not Laptop Compatible; Pattern Name: Solid; Size: 19 inch X 13 inch X 8.75 inch. Capacity : 35 litres.', 'WATER RESISTANT WITH 1 YEAR WARRANTY – This college bags for men is stylish and durable backpack for school /college, daily casual use and travel. College bag for girls are made of high-grade water-resistant polyester material that gives it strength and durable for long-term use. 12 months warranty for any manufacturing defects.']",V-Line,,[]
,India,,"[{'Product': 'Ergonomic Design', 'Additional Info': 'This cross-body bag comes with an adjustable shoulder strap & a comfortable size so that you can carry all your daily essentials easily.'}, {'Product': 'Slim Profile', 'Additional Info': 'A light weight design & slim profile makes this bag perfect for carrying all day.'}, {'Product': 'Large Capacity', 'Additional Info': 'With a main central pocket along with a front and a back zipper pocket, you can carry all your essentials like phone, wallet, diary, tablet, water bottle & much more.'}]"
"['Strong stitching at major stress points provide long-lasting durability against daily activities', 'Adjustable shoulder strap', 'Main large compartment with double zip closure', 'High quality double zippers, easy to access', 'Highly water-resistant finish to save inner items from water splashes']",B07NLB6FRS,No,"[{'Product': 'Top Grab Handle', 'Additional Info': 'The top grab handles is positioned in a way that allows you to quickly grab the bag and go, without having to fumble around for the handles.'}, {'Product': 'Strong and durable ropes', 'Additional Info': 'The basic Duffle Bag has strong and durable robe with resistant to wear and tear, and is not easily fray or break. Also resist moisture, mildew, and UV rays.'}, {'Product': 'Main Compartment with reliable zipper', 'Additional Info': 'The main compartment of this duffle bag is the heart of the bag and secured with a reliable zipper to ensure the safety of your belongings.'}, {'Product': 'Water Resistance', 'Additional Info': 'The overall design of the bag is made of water-resistant polyester material , with no gaps or holes that can allow water to seep in.'}]"
,2700EBP2BLU,,[]
,3500EBP1BLK,,[]
,bag for men,,"[{'Product': 'Backpack for Every Needs', 'Additional Info': 'This MADE IN INDIA Product features 3 large zippered compartments, 2 water bottle /umbrella pockets, Rain cover, Laptop Compartment, Top padded Handle for comfort. Its ergonomics comfortable design makes you forget the load you are carrying,'}, {'Product': 'Spacious compartments', 'Additional Info': 'This casual backpack comes with three spacious zippered compartments which can accommodate your notebooks and other essentials with ease. Store your umbrella, notebooks and water bottle in this spacious bag and move around comfortably all day.'}, {'Product': 'Comfort & Quality', 'Additional Info': 'This casual bag has Wide, Padded and Adjustable shoulder straps and Padded Back for comfort in carrying heavy items. Stitched properly and Bartacks on every pressure point for extra durability.'}, {'Product': 'Rain / Dust Cover', 'Additional Info': 'This backpack includes a separate rain/dust cover which can be very handy. It keeps your valuables safe and secure from rain and dust and keeps the backpack neat and clean for a longer period of time.'}, {'Product': 'Proudly Made in India', 'Additional Info': ""Half Moon is proud to be an Indian Brand. We understand the importance of Indian manufacturing and supply chains. It is the time when we revive local industries that's why this bag is Made in India by Indians using Indian materials.""}, {'Product': 'Shipped Directly from Factory', 'Additional Info': 'Half Moon offers high-quality bags at the lowest prices. We offer bags directly from factory to the customer to provide the bag at lowest prices possible.'}]"
"['Care Instructions: Wipe with Dry Cloth', 'Ergonomic Design : Spacious with Multiple Compartments & Pockets : Intuitive Access : Optimized Back Panel with Premium Cushioning with Airflow Mechanism : Padded & Adjustable Shoulder Straps : Padded Base : Lightweight : Bar-Tacked Load Points : Water Resistant Fabric : Heavy Duty Long Lasting Zippers : Padded Sleeve Fits Up To 15.6″ Laptop & Tab : Elasticated Trolley Sleeve on Back Panel : Concealed Anti-theft Pocket']",LBPELEVTE5012,,Each Gear Bag is born in our in-house design & prototyping studio & characterises a recognisable aesthetic & functionality.
"['Care Instructions: Wipe with Damp Cloth', 'Trendy & Professional Style - Good Quality Leatherette Bag with Fun and Quirky print digitally printed on it. The bag is efficiently completed internally with waterproof nylon lining. Compact and well-cushioned 15.6"" screen size Laptop Sleeve Slot pocket with an elastic strap closure keeps the laptop secure to back side of the Bag. The entire Bag is designed to provide ultimate protection for your device against scratches and accidental bumps.', 'Spacious - The Bag houses two spacious compartments with respective Zip Closure. The front compartment has a zip pocket inside, and the back compartment has an attached Laptop carrying case. An additional spacious zipper pocket is provided at the back of the Bag, that can fit in the Backpack strap when not in use or/and can be used as an easy to access storage pouch.', ""Versatile - The bag can be carried as a Shoulder handbag or as a Backpack. The bag is provided with 2 detachable sturdy shoulder Handbag straps to carry the well stuffed bag on the shoulder. The well-padded Backpack strap give good support and comfort to both shoulder and back. It’s a perfect mobile office carry-on option for today's tech-savvy travelers."", 'Dimension of the Laptop sleeve: Length (Horizontal) - 15 inch x Height - 11 inch x Width - 1.25 inch. The bag is ideal for most of the popular 15.6 inches laptop models available in the market. It is not designed for specific device or model. So please check your device dimensions against the sleeve size to ensure size-fit.', 'Dimension of the Laptop Bag - Length (Horizontal) – 15-inch x Height - 12-inch x Width - 3.5 inch. The Bag is functional and spacious in construct suitable for carrying your Laptop and its accessories and other essentials like Mobile and its charger, pen drive, files, folders, power bank, tablets, camera and more.']",FFHACBOTTLELUGGAGEBAG-BW,,[]
